# Dx, Dy, Lat, Lon, z, incidence, heading
       15.229681015014648,       -0.325812578201294,       63.583858339091826,      -19.440935604447677,      726.648559630426462,       38.038486480712891,     -258.136840820312500
       15.116247177124023,       -0.527024984359741,       63.583979317056702,      -19.439630016556372,      722.449968843718125,       38.043498992919922,     -258.138041446083491
       14.918005943298340,       -0.872966051101685,       63.584127674784469,      -19.438026718007187,      730.072706232323412,       38.050357015509356,     -258.139516730057551
       15.154216766357422,       -0.630166769027710,       63.584259910262482,      -19.436598451359007,      730.756447668412534,       38.056129455566406,     -258.140808908562917
       15.698247909545898,        0.072146177291870,       63.584392195412605,      -19.435169475941986,      731.475165704349365,       38.061906914961966,     -258.142112330386510
       15.887523651123047,        0.312381744384766,       63.584494581893466,      -19.434065392817800,      719.297934236312358,       38.065668808786491,     -258.143118607370468
       15.613460540771484,       -0.054605484008789,       63.584666256187020,      -19.432207822865543,      737.052577471891482,       38.074101297478926,     -258.144809120579794
       15.588618278503418,        0.132370114326477,       63.584802916528915,      -19.430730748279192,      739.703734968126696,       38.080175199006732,     -258.146160728053019
       15.815021514892578,        0.767828345298767,       63.584932633704227,      -19.429329008796042,      739.368654237321834,       38.085780896638568,     -258.147444875616770
       15.837168693542480,        0.743711352348328,       63.585066244852946,      -19.427884749990216,      740.730052720720664,       38.091651113409746,     -258.148747494346196
       15.387677192687988,       -1.180138468742371,       63.585501985794352,      -19.423171086954987,      760.006155123687108,       38.111613424200762,     -258.153052079050155
       15.469194412231445,       -1.177976250648499,       63.585687923202471,      -19.421156605662464,      784.085966319227282,       38.121014444451582,     -258.154904014185831
       15.548228263854980,        1.869100809097290,       63.588242794423394,      -19.393490098180585,      820.993048415507133,       38.233816648784440,     -258.180142051295206
       15.546701431274414,        1.474335551261902,       63.588358672867855,      -19.392235005619231,      814.976662110175539,       38.238504409790039,     -258.181283248098282
       15.547280311584473,        0.104475617408752,       63.588483043122565,      -19.390887128081818,      812.671999856177536,       38.243765981573809,     -258.182514391447398
       15.533404350280762,       -0.654386401176453,       63.588643349593546,      -19.389146946570914,      826.051711991871798,       38.251457013581927,     -258.184081228155833
       15.505998611450195,       -0.401919007301331,       63.588783796500351,      -19.387623263517440,      830.789027153505458,       38.257807480661498,     -258.185495476973699
       15.631361007690430,       -0.161336481571198,       63.588921431909263,      -19.386130076336755,      834.315387788852604,       38.263969622160261,     -258.186838250411199
       15.844546318054199,       -0.020426452159882,       63.589052501002037,      -19.384708386773621,      834.990238852638413,       38.269687652587891,     -258.188140869140625
       15.876903533935547,        0.032766044139862,       63.589181915704138,      -19.383304591990900,      834.956021514982012,       38.275291242097552,     -258.189433047645991
       14.889892578125000,       -0.415113568305969,       63.590155639375595,      -19.372732349492306,      864.767087504537244,       38.319143194901315,     -258.199058131167760
       14.762106895446777,       -0.405922174453735,       63.590261072139697,      -19.371589250697628,      854.344820602254572,       38.323127947355566,     -258.200106169048127
       14.577823638916016,       -0.172418355941772,       63.590325317180614,      -19.370896204057118,      825.892239138530613,       38.324326766164681,     -258.200726960834686
       14.827814102172852,       -0.073949456214905,       63.590371470783886,      -19.370400853846810,      789.518378628975825,       38.324301769858913,     -258.201171875000000
       15.384078979492188,       -0.154168963432312,       63.590607455789687,      -19.367830413207450,      836.305520530075682,       38.337130295602897,     -258.203524940892237
       15.467884063720703,       -0.273760437965393,       63.590700223943116,      -19.366825312279261,      820.364882177118716,       38.340260957416731,     -258.204434043482706
       15.803323745727539,       -0.905115962028503,       63.591209614922164,      -19.361282138491937,      873.953803332726125,       38.365313279001342,     -258.209501567639791
       15.991045951843262,       -1.058946371078491,       63.591319499473407,      -19.360089253794907,      865.566172846850009,       38.369605014198704,     -258.210596184981512
       15.645613670349121,       -1.004895448684692,       63.591447259414210,      -19.358700688432638,      865.036129012087713,       38.375109020032376,     -258.211857845908696
       15.034055709838867,       -0.708703875541687,       63.591593261432742,      -19.357112362107557,      872.531919542433684,       38.381851196289062,     -258.213302612304688
       14.472990036010742,       -0.325633645057678,       63.591750990701058,      -19.355395490135002,      885.199291394306215,       38.389389238859479,     -258.214869449013122
       14.291544914245605,       -0.117818593978882,       63.591912108864953,      -19.353641281063613,      899.378566671859289,       38.397159777189557,     -258.216472424958909
       14.608618736267090,       -0.204923868179321,       63.592066745534012,      -19.351957765969338,      910.730384338058684,       38.404489216051601,     -258.218019184313334
       14.718271255493164,       -0.253754854202271,       63.592189963315356,      -19.350617987542375,      908.279869920732267,       38.409688748811419,     -258.219234265779164
       14.638462066650391,       -0.128720998764038,       63.593101103281313,      -19.340702693672448,      912.881782921569197,       38.449403863204154,     -258.228279515316615
       14.577175140380859,       -0.174099564552307,       63.593211664498895,      -19.339500351103680,      904.947743498152477,       38.453750610351562,     -258.229358070775106
       14.486818313598633,       -0.401458621025085,       63.593314887880268,      -19.338378303995047,      893.785380882971026,       38.457596025968854,     -258.230377197265625
       14.397771835327148,       -0.280578851699829,       63.593409169559671,      -19.337354153173450,      878.684911500506360,       38.460837715550468,     -258.231310392680939
       14.356310844421387,        0.128555536270142,       63.593477960573857,      -19.336609312073556,      852.341669069548743,       38.462344721743932,     -258.231983385588023
       14.406955718994141,        0.124982833862305,       63.593533087691462,      -19.336014198183488,      819.970787225252252,       38.462923853020918,     -258.232513427734375
       15.272481918334961,       -0.340050220489502,       63.584401511039090,      -19.441076639582811,      731.025074585019638,       38.039154555771375,     -258.136840820312500
       15.181558609008789,       -0.491475462913513,       63.584527233602799,      -19.439719469976765,      728.873182944811788,       38.044486602377248,     -258.138071963661616
